========== FILE: canara1m.pdf ==========


======= PAGE 1 =======

text='Statement'                              x0=   36.0 x1=   98.8 top=  150.2 bottom=  163.2
text='for'                                    x0=  102.5 x1=  119.8 top=  150.2 bottom=  163.2
text='A/c'                                    x0=  123.4 x1=  143.6 top=  150.2 bottom=  163.2
text='XXXXXXXXX8395'                          x0=  147.2 x1=  254.2 top=  150.2 bottom=  163.2
text='for'                                    x0=  257.8 x1=  275.1 top=  150.2 bottom=  163.2
text='the'                                    x0=  278.7 x1=  298.2 top=  150.2 bottom=  163.2
text='period'                                 x0=  301.9 x1=  341.6 top=  150.2 bottom=  163.2
text='24-Nov-2025'                            x0=  345.2 x1=  421.8 top=  150.2 bottom=  163.2
text='to'                                     x0=  425.4 x1=  437.7 top=  150.2 bottom=  163.2
text='23-Dec-2025'                            x0=  441.3 x1=  517.2 top=  150.2 bottom=  163.2
text='Customer'                               x0=   14.8 x1=   66.9 top=  179.0 bottom=  191.0
text='Id'                                     x0=   70.2 x1=   80.2 top=  179.0 bottom=  191.0
text='XXXXXXX86'                              x0=  114.8 x1=  184.2 top=  179.0 bottom=  191.0
text='Branch'                                 x0=  302.4 x1=  340.4 top=  187.0 bottom=  199.0
text='Code'                                   x0=  343.7 x1=  372.4 top=  187.0 bottom=  199.0
text='3822'                                   x0=  402.3 x1=  429.0 top=  187.0 bottom=  199.0
text='Name'                                   x0=   14.8 x1=   46.9 top=  198.0 bottom=  210.0
text='MAHESH'                                 x0=  114.8 x1=  166.2 top=  198.0 bottom=  210.0
text='PAREEK'                                 x0=  169.5 x1=  218.2 top=  198.0 bottom=  210.0
text='Branch'                                 x0=  302.4 x1=  340.4 top=  206.0 bottom=  218.0
text='Name'                                   x0=  343.7 x1=  375.7 top=  206.0 bottom=  218.0
text='NOKHA'                                  x0=  402.3 x1=  445.0 top=  206.0 bottom=  218.0
text='Phone'                                  x0=   14.8 x1=   49.5 top=  217.0 bottom=  229.0
text='+917062585537'                          x0=  114.8 x1=  201.9 top=  217.0 bottom=  229.0
text='IFSC'                                   x0=  302.4 x1=  329.7 top=  225.0 bottom=  237.0
text='Code'                                   x0=  333.0 x1=  361.7 top=  225.0 bottom=  237.0
text='CNRB0003822'                            x0=  402.3 x1=  483.0 top=  225.0 bottom=  237.0
text='Address'                                x0=   14.8 x1=   60.5 top=  236.0 bottom=  248.0
text='S/O'                                    x0=  114.9 x1=  136.1 top=  236.0 bottom=  248.0
text='PRADIP'                                 x0=  140.7 x1=  186.7 top=  236.0 bottom=  248.0
text='KUMAR'                                  x0=  191.3 x1=  235.8 top=  236.0 bottom=  248.0
text='PAREEK'                                 x0=  240.4 x1=  290.4 top=  236.0 bottom=  248.0
text='Address'                                x0=  302.4 x1=  350.2 top=  244.0 bottom=  256.0
text='H.No.5,'                                x0=  402.4 x1=  446.9 top=  244.0 bottom=  256.0
text='Near'                                   x0=  453.1 x1=  481.1 top=  244.0 bottom=  256.0
text='Navligate,'                             x0=  487.3 x1=  546.5 top=  244.0 bottom=  256.0
text='Pipli'                                  x0=  552.7 x1=  578.0 top=  244.0 bottom=  256.0
